date,AWND,PRCP,TMAX,TMIN,tmax_c,tmin_c,temp_range_c,temp_avg_c,prcp_mm,awnd_ms,year,month,temp_avg_c_roll7,prcp_mm_roll7,temp_avg_c_roll14,prcp_mm_roll14,prcp_z_nov
2017-11-13,2.1,0.0,21.1,12.2,2.1100000000000003,1.22,0.8900000000000002,1.6649999999999998,0.0,0.21000000000000002,2017,11,1.7578571428571428,0.0,1.750714285714286,0.016428571428571428,-0.16495937728711998
2017-11-14,2.5,0.0,23.3,12.2,2.33,1.22,1.11,1.775,0.0,0.25,2017,11,1.7457142857142858,0.0,1.7764285714285715,0.016428571428571428,-0.16495937728711998
2017-11-15,2.3,0.0,24.4,13.9,2.44,1.3900000000000001,1.0499999999999998,1.9149999999999998,0.0,0.22999999999999998,2017,11,1.7535714285714286,0.0,1.7760714285714287,0.016428571428571428,-0.16495937728711998
2017-11-16,2.6,0.0,24.4,14.4,2.44,1.44,0.9999999999999998,1.94,0.0,0.26,2017,11,1.7685714285714285,0.0,1.7917857142857143,0.0035714285714285718,-0.16495937728711998
2017-11-17,4.1,0.0,21.1,15.6,2.1100000000000003,1.56,0.5500000000000002,1.8350000000000002,0.0,0.41,2017,11,1.7842857142857143,0.0,1.7917857142857143,0.0,-0.16495937728711998
2017-11-18,2.6,0.0,24.4,12.8,2.44,1.28,1.1599999999999997,1.86,0.0,0.26,2017,11,1.8078571428571428,0.0,1.8014285714285714,0.0,-0.16495937728711998
2017-11-19,2.9,0.0,24.4,13.3,2.44,1.33,1.1099999999999999,1.8850000000000002,0.0,0.29,2017,11,1.8392857142857142,0.0,1.8067857142857144,0.0,-0.16495937728711998
2017-11-20,2.1,0.0,22.2,11.1,2.2199999999999998,1.1099999999999999,1.1099999999999999,1.6649999999999998,0.0,0.21000000000000002,2017,11,1.8392857142857142,0.0,1.7985714285714285,0.0,-0.16495937728711998
2017-11-21,2.3,0.0,26.1,14.4,2.6100000000000003,1.44,1.1700000000000002,2.025,0.0,0.22999999999999998,2017,11,1.875,0.0,1.8103571428571428,0.0,-0.16495937728711998
2017-11-22,1.7,0.0,34.4,16.7,3.44,1.67,1.77,2.5549999999999997,0.0,0.16999999999999998,2017,11,1.9664285714285714,0.0,1.8599999999999999,0.0,-0.16495937728711998
2017-11-23,2.8,0.0,32.8,17.8,3.28,1.78,1.4999999999999996,2.53,0.0,0.27999999999999997,2017,11,2.0507142857142857,0.0,1.9096428571428572,0.0,-0.16495937728711998
2017-11-24,2.0,0.0,27.8,14.4,2.7800000000000002,1.44,1.34,2.1100000000000003,0.0,0.2,2017,11,2.09,0.0,1.9371428571428573,0.0,-0.16495937728711998
2017-11-25,2.2,0.0,27.8,15.0,2.7800000000000002,1.5,1.28,2.1399999999999997,0.0,0.22000000000000003,2017,11,2.13,0.0,1.9689285714285714,0.0,-0.16495937728711998
2017-11-26,3.1,0.0,18.3,15.0,1.83,1.5,0.33000000000000007,1.6649999999999998,0.0,0.31,2017,11,2.0985714285714283,0.0,1.9689285714285714,0.0,-0.16495937728711998
2017-11-27,4.1,0.3,19.4,13.3,1.94,1.33,0.6099999999999998,1.6350000000000002,0.03,0.41,2017,11,2.0942857142857143,0.004285714285714286,1.9667857142857144,0.002142857142857143,-0.0793896714897667
2017-11-28,2.6,0.0,25.0,10.0,2.5,1.0,1.5,1.75,0.0,0.26,2017,11,2.055,0.004285714285714286,1.9649999999999999,0.002142857142857143,-0.16495937728711998
2017-11-29,2.1,0.0,23.3,12.2,2.33,1.22,1.11,1.775,0.0,0.21000000000000002,2017,11,1.9435714285714287,0.004285714285714286,1.955,0.002142857142857143,-0.16495937728711998
2017-11-30,2.3,0.0,22.2,11.1,2.2199999999999998,1.1099999999999999,1.1099999999999999,1.6649999999999998,0.0,0.22999999999999998,2017,11,1.82,0.004285714285714286,1.9353571428571428,0.002142857142857143,-0.16495937728711998
2018-11-01,3.0,0.0,27.2,13.9,2.7199999999999998,1.3900000000000001,1.3299999999999998,2.055,0.0,0.3,2018,11,1.812142857142857,0.004285714285714286,1.9510714285714283,0.002142857142857143,-0.16495937728711998
2018-11-02,2.7,0.0,30.0,15.0,3.0,1.5,1.5,2.25,0.0,0.27,2018,11,1.8278571428571428,0.004285714285714286,1.9789285714285714,0.002142857142857143,-0.16495937728711998
2018-11-03,2.0,0.0,27.2,15.6,2.7199999999999998,1.56,1.16,2.1399999999999997,0.0,0.2,2018,11,1.8957142857142857,0.004285714285714286,1.9971428571428569,0.002142857142857143,-0.16495937728711998
2018-11-04,2.2,0.0,25.0,15.6,2.5,1.56,0.9400000000000001,2.0300000000000002,0.0,0.22000000000000003,2018,11,1.952142857142857,0.0,2.023214285714286,0.002142857142857143,-0.16495937728711998
2018-11-05,3.0,0.0,23.3,16.7,2.33,1.67,0.6600000000000001,2.0,0.0,0.3,2018,11,1.9878571428571428,0.0,2.0214285714285714,0.002142857142857143,-0.16495937728711998
2018-11-06,3.1,0.0,22.8,18.3,2.2800000000000002,1.83,0.45,2.055,0.0,0.31,2018,11,2.027857142857143,0.0,1.9857142857142858,0.002142857142857143,-0.16495937728711998
2018-11-07,3.1,0.0,21.1,16.1,2.1100000000000003,1.61,0.5,1.86,0.0,0.31,2018,11,2.0557142857142856,0.0,1.9378571428571427,0.002142857142857143,-0.16495937728711998
2018-11-08,2.1,0.0,22.2,15.0,2.2199999999999998,1.5,0.72,1.86,0.0,0.21000000000000002,2018,11,2.027857142857143,0.0,1.92,0.002142857142857143,-0.16495937728711998
2018-11-09,1.4,0.0,28.9,10.0,2.8899999999999997,1.0,1.89,1.9449999999999998,0.0,0.13999999999999999,2018,11,1.9842857142857144,0.0,1.9060714285714284,0.002142857142857143,-0.16495937728711998
2018-11-10,2.8,0.0,25.0,13.3,2.5,1.33,1.17,1.9149999999999998,0.0,0.27999999999999997,2018,11,1.9521428571428572,0.0,1.9239285714285714,0.002142857142857143,-0.16495937728711998
2018-11-11,2.4,0.0,25.6,10.0,2.56,1.0,1.56,1.78,0.0,0.24,2018,11,1.9164285714285714,0.0,1.9342857142857142,0.0,-0.16495937728711998
2018-11-12,2.3,0.0,25.0,10.0,2.5,1.0,1.5,1.75,0.0,0.22999999999999998,2018,11,1.8807142857142856,0.0,1.9342857142857142,0.0,-0.16495937728711998
2018-11-13,1.8,0.0,25.0,11.1,2.5,1.1099999999999999,1.3900000000000001,1.8050000000000002,0.0,0.18,2018,11,1.845,0.0,1.9364285714285714,0.0,-0.16495937728711998
2018-11-14,2.4,0.0,26.7,13.9,2.67,1.3900000000000001,1.2799999999999998,2.0300000000000002,0.0,0.24,2018,11,1.8692857142857144,0.0,1.9625000000000001,0.0,-0.16495937728711998
2018-11-15,2.6,0.0,26.1,12.2,2.6100000000000003,1.22,1.3900000000000001,1.9149999999999998,0.0,0.26,2018,11,1.8771428571428572,0.0,1.9525000000000001,0.0,-0.16495937728711998
2018-11-16,2.4,0.0,24.4,12.2,2.44,1.22,1.22,1.8299999999999996,0.0,0.24,2018,11,1.8607142857142858,0.0,1.9224999999999999,0.0,-0.16495937728711998
2018-11-17,2.4,0.0,21.1,14.4,2.1100000000000003,1.44,0.6700000000000002,1.775,0.0,0.24,2018,11,1.8407142857142857,0.0,1.8964285714285716,0.0,-0.16495937728711998
2018-11-18,2.4,0.0,21.7,13.9,2.17,1.3900000000000001,0.7799999999999999,1.78,0.0,0.24,2018,11,1.8407142857142857,0.0,1.8785714285714286,0.0,-0.16495937728711998
2018-11-19,2.2,0.0,21.1,11.7,2.1100000000000003,1.17,0.9400000000000002,1.64,0.0,0.22000000000000003,2018,11,1.825,0.0,1.852857142857143,0.0,-0.16495937728711998
2018-11-20,2.1,0.0,21.7,11.7,2.17,1.17,1.0,1.67,0.0,0.21000000000000002,2018,11,1.8057142857142856,0.0,1.825357142857143,0.0,-0.16495937728711998
2018-11-21,2.5,0.3,21.1,12.8,2.1100000000000003,1.28,0.8300000000000001,1.6950000000000003,0.03,0.25,2018,11,1.7578571428571428,0.004285714285714286,1.8135714285714286,0.002142857142857143,-0.0793896714897667
